Date,Open,High,Low,Close,Adj Close,Volume,Change
2020-11-19,211.380005,213.029999,209.929993,212.419998,211.931885,24792700,0.004920015968397679
2020-11-20,212.199997,213.289993,210.000000,210.389999,209.906555,22843100,-0.008529679668185892
2020-11-23,210.949997,212.289993,208.160004,210.110001,209.627197,25683500,-0.003981967347456208
2020-11-24,209.589996,214.250000,208.860001,213.860001,213.368576,33979700,0.020373133648993427
2020-11-25,215.110001,215.289993,212.460007,213.869995,213.378555,21012900,-0.005764520451097122
2020-11-27,214.850006,216.270004,214.039993,215.229996,214.735428,14512200,0.0017686292268476466
2020-11-30,214.100006,214.759995,210.839996,214.070007,213.578094,33064800,-0.00014011676393882802
2020-12-01,214.509995,217.320007,213.350006,216.210007,215.713181,30904500,0.007925094585918883
2020-12-02,214.880005,215.470001,212.800003,215.369995,214.875107,23724500,0.002280295926091297
2020-12-03,214.610001,216.380005,213.649994,214.240005,213.747711,25120900,-0.0017240389463490783
2020-12-04,214.220001,215.380005,213.179993,214.360001,213.867432,24666000,0.0006535337472994167
2020-12-07,214.369995,215.539993,212.990005,214.289993,213.797577,24620000,-0.0003731958849930422
2020-12-08,213.970001,216.949997,212.889999,216.009995,215.513626,23284100,0.009534018743122813
2020-12-09,215.160004,215.229996,211.210007,211.800003,211.313309,32440600,-0.015616289912320242
2020-12-10,211.770004,213.080002,210.360001,210.520004,210.036255,26733300,-0.0059026301005311406
2020-12-11,210.050003,213.320007,209.110001,213.259995,212.769943,30979400,0.015282037391829982
2020-12-14,213.100006,216.210007,212.880005,214.199997,213.707794,28798400,0.005161853444527771
2020-12-15,215.169998,215.419998,212.240005,214.130005,213.637955,27000600,-0.004833355066536652
2020-12-16,214.750000,220.110001,214.720001,219.279999,218.776123,35023300,0.02109429103608849
2020-12-17,219.869995,220.889999,217.919998,219.419998,218.915802,32515800,-0.0020466503398974298
2020-12-18,218.589996,219.690002,216.020004,218.589996,218.087708,63354900,0.0
2020-12-21,217.550003,224.000000,217.279999,222.589996,222.078506,37181900,0.023167055529757955
2020-12-22,222.690002,225.630005,221.850006,223.940002,223.425415,22612200,0.00561318419674719
2020-12-23,223.110001,223.559998,220.800003,221.020004,220.512131,18699600,-0.009367563043487284
2020-12-24,221.419998,223.610001,221.199997,222.750000,222.238144,10550600,0.006006693216572098
2020-12-28,224.449997,226.029999,223.020004,224.960007,224.443069,17933500,0.0022722655683528217
2020-12-29,226.309998,227.179993,223.580002,224.149994,223.634918,17403200,-0.009544447965573376
2020-12-30,225.229996,225.630005,221.470001,221.679993,221.170593,20272300,-0.015761679452323055
2020-12-31,221.699997,223.000000,219.679993,222.419998,221.908905,20942100,0.003247636489593621
2021-01-04,222.529999,223.000000,214.809998,217.690002,217.189774,37130100,-0.021749863037567402
2021-01-05,217.259995,218.520004,215.699997,217.899994,217.399292,23823000,0.0029457747156810387
2021-01-06,212.169998,216.490005,211.940002,212.250000,211.762268,35930700,0.00037706556418974684
2021-01-07,214.039993,219.339996,213.710007,218.289993,217.788391,27694500,0.01985610231261781
2021-01-08,218.679993,220.580002,217.029999,219.619995,219.115341,22956200,0.004298527666406102
2021-01-11,218.470001,218.910004,216.729996,217.490005,216.990234,23031300,-0.004485723419756838
2021-01-12,216.500000,217.100006,213.320007,214.929993,214.436111,23249300,-0.007251764434180157
2021-01-13,214.020004,216.759995,213.929993,216.339996,215.842880,20087100,0.01084007081880072
2021-01-14,215.910004,217.460007,212.740005,213.020004,212.530518,29480800,-0.013385206551151685
2021-01-15,213.520004,214.509995,212.029999,212.649994,212.161346,31746500,-0.004074606517898003
2021-01-19,213.750000,216.979996,212.630005,216.440002,215.942642,30480900,0.01258480467836254
2021-01-20,217.699997,225.789993,217.289993,224.339996,223.824493,37777300,0.030500684848424768
2021-01-21,224.699997,226.300003,222.419998,224.970001,224.453049,30709400,0.0012016199537376946
2021-01-22,227.080002,230.070007,225.800003,225.949997,225.430786,30172700,-0.004976241809263377
2021-01-25,229.119995,229.779999,224.220001,229.529999,229.002563,33152100,0.001789472804414189
2021-01-26,231.860001,234.179993,230.080002,232.330002,231.796143,49169600,0.0020270896143056443
2021-01-27,238.000000,240.440002,230.139999,232.899994,232.364822,69870600,-0.021428596638655494
2021-01-28,235.610001,242.639999,235.089996,238.929993,238.380966,49111200,0.014091048707223532
2021-01-29,235.990005,238.020004,231.350006,231.960007,231.426987,42503100,-0.01707698595116351
2021-02-01,235.059998,242.500000,232.429993,239.649994,239.099304,33314200,0.019526912443860334
2021-02-02,241.300003,242.309998,238.690002,239.509995,238.959625,25916300,-0.007418184739931397
2021-02-03,239.570007,245.089996,239.259995,243.000000,242.441620,27158100,0.014317288891676645
2021-02-04,242.660004,243.240005,240.369995,242.009995,241.453888,25296100,-0.0026786820624958986
2021-02-05,242.229996,243.279999,240.419998,242.199997,241.643448,18054800,-0.00012384510793619327
2021-02-08,243.149994,243.679993,240.809998,242.470001,241.912842,22211900,-0.002796598876329794
2021-02-09,241.869995,244.759995,241.380005,243.770004,243.209854,23565000,0.00785549691684581
2021-02-10,245.000000,245.919998,240.889999,242.820007,242.262039,22186700,-0.008897930612244882
2021-02-11,244.779999,245.149994,242.149994,244.490005,243.928192,15751100,-0.0011847128081735436
2021-02-12,243.929993,245.300003,242.729996,244.990005,244.427048,16561100,0.004345558276632265
2021-02-16,245.029999,246.130005,242.919998,243.699997,243.139999,26728500,-0.005427914971341968
2021-02-17,241.320007,244.309998,240.940002,244.199997,244.199997,21653500,0.011934319229486812
2021-02-18,241.800003,243.929993,240.860001,243.789993,243.789993,16925600,0.00822990064230895
2021-02-19,243.750000,243.860001,240.179993,240.970001,240.970001,25262600,-0.011405124102564118
2021-02-22,237.419998,237.929993,232.399994,234.509995,234.509995,36446900,-0.01225677291093225
2021-02-23,230.330002,234.830002,228.729996,233.270004,233.270004,30228700,0.012764303279952182
2021-02-24,230.009995,235.199997,229.000000,234.550003,234.550003,26339700,0.019738307459204112
2021-02-25,232.080002,234.589996,227.880005,228.990005,228.990005,39542200,-0.013314361312354741
2021-02-26,231.529999,235.369995,229.539993,232.380005,232.380005,37819200,0.0036712564405099297
2021-03-01,235.899994,237.470001,233.149994,236.940002,236.940002,25324000,0.004408681756897376
2021-03-02,237.009995,237.300003,233.449997,233.869995,233.869995,22812500,-0.013248386423534647
2021-03-03,232.160004,233.580002,227.259995,227.559998,227.559998,34029500,-0.019813946936355065
2021-03-04,226.740005,232.490005,224.259995,226.729996,226.729996,44727800,-4.414307038582187e-05
2021-03-05,229.520004,233.270004,226.460007,231.600006,231.600006,41872800,0.009062399632931374
2021-03-08,231.369995,233.369995,227.130005,227.389999,227.389999,35267400,-0.017201867510953615
2021-03-09,232.880005,235.380005,231.669998,233.779999,233.779999,33080500,0.0038646254752527694
2021-03-10,237.000000,237.000000,232.039993,232.419998,232.419998,29746800,-0.01932490295358653
2021-03-11,234.960007,239.169998,234.309998,237.130005,237.130005,29907600,0.009235605785456165
2021-03-12,234.009995,235.820007,233.229996,235.750000,235.750000,22653700,0.007435601201564046
2021-03-15,234.960007,235.190002,231.809998,234.809998,234.809998,26034900,-0.0006384448226543633
2021-03-16,236.279999,240.059998,235.940002,237.710007,237.710007,28092200,0.0060521754107506435
2021-03-17,236.149994,238.550003,233.229996,237.039993,237.039993,29562100,0.003768786883814265
2021-03-18,232.559998,234.190002,230.330002,230.720001,230.720001,34833000,-0.00791192387265161
2021-03-19,231.020004,232.470001,229.350006,230.350006,230.350006,46430700,-0.002900173094967103
2021-03-22,230.270004,236.899994,230.139999,235.990005,235.990005,30127000,0.02484040865348661
2021-03-23,237.490005,241.050003,237.070007,237.580002,237.580002,31638400,0.0003789506846825448
2021-03-24,237.850006,238.000000,235.320007,235.460007,235.460007,25620100,-0.010048345342484529
2021-03-25,235.300003,236.940002,231.570007,232.339996,232.339996,34061900,-0.012579715096731173
2021-03-26,231.550003,236.710007,231.550003,236.479996,236.479996,25479900,0.02129126726895355
2021-03-29,236.589996,236.800003,231.880005,235.240005,235.240005,25227500,-0.005706035854533837
2021-03-30,233.529999,233.850006,231.100006,231.850006,231.850006,24792000,-0.007193906595272139
